,seconds,alg
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,35.768713,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,32.6719,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,32.782556,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,32.926765,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,32.47197,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,32.727301,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,32.710141,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,32.682008,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,32.732056,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,82.390793,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,95.260907,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,80.38986,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,80.745981,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,81.249306,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,80.224801,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,80.565963,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,80.952009,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,80.146255,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_9\events.out.tfevents,80.074863,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_1\events.out.tfevents,295.334263,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_10\events.out.tfevents,326.177492,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_2\events.out.tfevents,300.237939,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_3\events.out.tfevents,302.534629,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_4\events.out.tfevents,299.103443,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_5\events.out.tfevents,306.84244,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_6\events.out.tfevents,306.104647,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_7\events.out.tfevents,308.113729,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_8\events.out.tfevents,298.794411,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_9\events.out.tfevents,299.739801,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_1\events.out.tfevents,1446.099673,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_10\events.out.tfevents,1583.35291,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_2\events.out.tfevents,1491.950076,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_3\events.out.tfevents,1628.430905,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_4\events.out.tfevents,1538.828776,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_5\events.out.tfevents,1697.51152,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_6\events.out.tfevents,1584.327254,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_7\events.out.tfevents,1494.477037,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_8\events.out.tfevents,1506.440604,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_9\events.out.tfevents,1586.81423,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_1\events.out.tfevents,38.57357,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,37.336023,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,37.893987,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,37.734432,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,37.441484,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,37.88224,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,37.675506,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,38.013401,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,37.462512,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,37.707401,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,86.584272,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,84.688804,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,86.963874,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,85.227333,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,83.985615,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,87.106312,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,85.55405,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,86.179995,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,85.22247,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_9\events.out.tfevents,85.128089,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_1\events.out.tfevents,299.407483,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_10\events.out.tfevents,301.493415,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_2\events.out.tfevents,323.39897,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_3\events.out.tfevents,319.983881,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_4\events.out.tfevents,301.608931,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_5\events.out.tfevents,308.763659,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_6\events.out.tfevents,305.844392,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_7\events.out.tfevents,307.004115,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_8\events.out.tfevents,300.394946,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_9\events.out.tfevents,305.920754,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_1\events.out.tfevents,1466.240393,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_10\events.out.tfevents,1475.623533,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_2\events.out.tfevents,1639.232178,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_3\events.out.tfevents,1699.889506,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_4\events.out.tfevents,1561.092666,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_5\events.out.tfevents,1504.275473,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_6\events.out.tfevents,1468.57696,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_7\events.out.tfevents,1572.334392,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_8\events.out.tfevents,1486.671022,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_9\events.out.tfevents,1593.586242,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_1\events.out.tfevents,37.742416,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,40.034571,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,37.142782,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,37.251951,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,37.477012,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,36.805048,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,37.249682,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,37.452369,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,37.123843,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,36.916921,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,88.374185,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,101.599287,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,86.945184,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,87.31487,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,87.806533,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,86.71072,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,86.785681,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,87.248088,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,86.509496,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_9\events.out.tfevents,86.573018,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_1\events.out.tfevents,315.373861,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_10\events.out.tfevents,325.593316,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_2\events.out.tfevents,308.230574,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_3\events.out.tfevents,318.59097,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_4\events.out.tfevents,307.517558,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_5\events.out.tfevents,315.082646,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_6\events.out.tfevents,322.101771,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_7\events.out.tfevents,320.275245,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_8\events.out.tfevents,300.471287,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_9\events.out.tfevents,314.804216,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_1\events.out.tfevents,1659.402938,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_10\events.out.tfevents,1576.005442,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_2\events.out.tfevents,1482.32924,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_3\events.out.tfevents,1543.699171,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_4\events.out.tfevents,1475.791683,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_5\events.out.tfevents,1448.012634,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_6\events.out.tfevents,1619.000436,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_7\events.out.tfevents,1517.174359,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_8\events.out.tfevents,1467.445372,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_9\events.out.tfevents,1530.297701,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_1\events.out.tfevents,42.608873,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,41.941224,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,42.036407,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,42.408582,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,42.242192,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,42.594172,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,42.59786,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,42.314276,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,42.584494,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,42.562396,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,92.408037,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,91.392884,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,93.184888,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,91.740539,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,90.499344,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,93.712921,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,92.248679,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,92.413257,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,91.928476,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_9\events.out.tfevents,91.883538,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_1\events.out.tfevents,316.950594,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_10\events.out.tfevents,308.553509,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_2\events.out.tfevents,331.993808,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption3Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_3\events.out.tfevents,327.596499,SAC
