,seconds,alg
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_4\events.out.tfevents,1516.502967,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_5\events.out.tfevents,1500.105992,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_6\events.out.tfevents,1539.242886,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_7\events.out.tfevents,1578.946235,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_8\events.out.tfevents,1446.499607,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_9\events.out.tfevents,1513.135675,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_1\events.out.tfevents,36.344731,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,35.99428,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,36.607872,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,36.450708,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,36.166952,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,36.562392,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,36.44068,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,36.708206,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,36.214956,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,36.755816,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,84.571014,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,83.375867,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,85.423496,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,83.807193,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,82.573191,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,86.127198,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,84.49925,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,84.481401,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,84.148411,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_9\events.out.tfevents,84.383255,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_1\events.out.tfevents,293.724875,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_10\events.out.tfevents,296.391121,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_2\events.out.tfevents,342.027728,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_3\events.out.tfevents,302.176581,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_4\events.out.tfevents,297.269687,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_5\events.out.tfevents,315.227604,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_6\events.out.tfevents,299.929303,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_7\events.out.tfevents,302.429757,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_8\events.out.tfevents,296.875734,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_9\events.out.tfevents,303.396075,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_1\events.out.tfevents,1511.119762,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_10\events.out.tfevents,1416.367924,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_2\events.out.tfevents,1644.6426,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_3\events.out.tfevents,1592.052093,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_4\events.out.tfevents,1437.720701,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_5\events.out.tfevents,1596.89231,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_6\events.out.tfevents,1485.067876,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_7\events.out.tfevents,1494.760989,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_8\events.out.tfevents,1447.042919,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_TD3_training_04_06_9\events.out.tfevents,1468.557376,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_1\events.out.tfevents,36.864185,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,39.513696,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,36.374991,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,36.572755,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,36.494646,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,36.105793,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,36.423987,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,36.317638,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,36.109044,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,36.532236,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,87.150657,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,100.273673,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,85.207568,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,85.927115,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,85.956444,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,85.194155,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,85.57818,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,86.074877,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,85.719702,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_PPO_training_04_06_9\events.out.tfevents,85.158717,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_1\events.out.tfevents,306.655136,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_10\events.out.tfevents,334.218913,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_2\events.out.tfevents,309.41343,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_3\events.out.tfevents,309.185106,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_4\events.out.tfevents,305.104182,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_5\events.out.tfevents,310.661861,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_6\events.out.tfevents,314.530053,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_7\events.out.tfevents,312.366145,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_8\events.out.tfevents,305.933292,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_9\events.out.tfevents,308.292595,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_1\events.out.tfevents,1492.305927,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_10\events.out.tfevents,1560.341287,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_2\events.out.tfevents,1517.90473,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_3\events.out.tfevents,1518.221512,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_4\events.out.tfevents,1509.000348,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_5\events.out.tfevents,1498.378734,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_6\events.out.tfevents,1513.436455,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_7\events.out.tfevents,1474.049971,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_8\events.out.tfevents,1502.329837,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_9\events.out.tfevents,1485.428544,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_1\events.out.tfevents,42.347798,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,42.197331,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,42.465776,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,41.572488,A2C
