,combination,scenario,alg,condensator_pump_blown,water_pump_blown,action_wrapper,obs_wrapper,automation_wrapper,cum_reward,criticality_score,total_timesteps,full_path,result_wo_npp_automation,result_w_npp_automation,result_wo_npp_automation_criticality,result_w_npp_automation_criticality,result_wo_npp_automation_timesteps,result_w_npp_automation_timesteps,episode_length_1000_condensator_pump_blown,episode_length_1000_water_pump_blown,episode_length_1000,episode_length_1000_criticality,episode_length_1000_timesteps,ObservationVariesPositiveNoiseWrapper,ObservationVariesPositiveNoiseWrapper_criticality,ObservationVariesPositiveNoiseWrapper_timesteps,ObservationVariesNegativeNoiseWrapper,ObservationVariesNegativeNoiseWrapper_criticality,ObservationVariesNegativeNoiseWrapper_timesteps,ObservationVariesNoiseWrapper1,ObservationVariesNoiseWrapper1_criticality,ObservationVariesNoiseWrapper1_timesteps,DelayNoiseWrapperOption1,DelayNoiseWrapperOption1_criticality,DelayNoiseWrapperOption1_timesteps,DelayNoiseWrapperOption2,DelayNoiseWrapperOption2_criticality,DelayNoiseWrapperOption2_timesteps,create_starting_state_option1,create_starting_state_option1_criticality,create_starting_state_option1_timesteps,create_starting_state_option2a,create_starting_state_option2a_criticality,create_starting_state_option2a_timesteps,create_starting_state_option2b,create_starting_state_option2b_criticality,create_starting_state_option2b_timesteps,create_starting_state_option2c,create_starting_state_option2c_criticality,create_starting_state_option2c_timesteps,create_starting_state_option3,create_starting_state_option3_criticality,create_starting_state_option3_timesteps
10,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,240.52917,182.2691667557724,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_1,204.93356323242188,,205.1716446325222,,250,,False,False,982.8646,732.4044472373176,1000,237.27722,186.8971249362035,250,238.16379,181.47372067648587,250,240.45891,182.3805700048601,250,240.45961,182.79147423540684,250,241.99088,182.49809422056103,250,233.05219,199.55494441460797,250,23.688572,23.60981999915834,34,240.84152,188.98716353462356,250,241.30357,192.4441175588712,250,203.19206,200.51774876283432,250
11,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,237.9023,184.9322735980777,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_2,178.17428588867188,,201.30323862454043,,250,,False,False,969.4016,746.716246868509,1000,236.59567,192.29474650265033,250,238.99434,182.6553302998806,250,237.8047,185.0409379367084,250,237.34894,183.6945957652047,250,240.0232,185.4824974637885,250,233.45201,188.1973001945567,250,235.52718,184.18190856254947,250,238.44968,187.14455414094576,250,237.06459,186.47990337132924,250,180.6614,203.68392683215708,250
12,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,237.20035,194.05860716387298,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_3,146.32579040527344,,175.67501248681822,,250,,False,False,976.4799,788.4271979596225,1000,232.15578,196.90764069840904,250,235.72237,189.013509676329,250,235.5318,193.7364596434703,250,237.14363,194.39603175913047,250,239.60219,194.54176909583464,250,242.43633,196.72855593256767,250,235.50415,193.64188236543995,250,242.66164,197.99953166795024,250,217.7787,204.49922506422678,250,146.09573,189.22619777949728,250
13,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,227.90138,185.7961496308736,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_4,209.93849182128906,,187.3968232017614,,250,,False,False,941.00354,750.3684226894267,1000,222.12708,190.33004729671217,250,233.85,182.1887802343053,250,227.87851,185.9552798487015,250,230.3189,187.43638568613756,250,230.60713,186.44459761495446,250,234.40277,189.00812546942436,250,224.61998,184.94113806734103,250,235.62965,190.99040661111724,250,233.42688,192.75692412946964,250,222.65157,208.5311246521154,250
14,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,235.8461,184.80519181778072,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_5,193.33154296875,,181.40854434846622,,250,,False,False,977.41785,740.0958300391093,1000,233.693,190.7917367501021,250,234.24948,182.18629250963568,250,235.98776,185.020634749368,250,234.91832,184.9966113854296,250,237.27316,184.9965599000656,250,243.26208,185.65094612759285,250,234.42409,184.31493619443305,250,240.09825,184.3373482001805,250,11.598575,36.47783253332803,48,203.75851,198.01472013419016,250
15,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,230.77203,197.58923936033895,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_6,186.05844116210938,,204.51829082530523,,250,,False,False,968.9649,795.4756142948945,1000,229.21706,203.6458003745808,250,230.73299,185.9534844268412,250,230.78221,197.23190928443077,250,231.76941,192.99847133801174,250,234.22182,197.16086507036624,250,191.364,206.98463805953932,250,228.47351,196.8691183921863,250,195.62675,206.67719213446904,250,204.59985,212.98677580455941,250,211.748,196.41154221354634,250
16,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,242.52916,181.04243622888922,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_7,198.93707275390625,,202.79535987646312,,250,,False,False,987.0607,725.5078288879723,1000,226.4928,180.19329241270873,250,236.5496,181.17741102451427,250,242.01357,181.07703906708838,250,241.20236,180.86911603618037,250,242.2348,181.28542722214024,250,244.18378,182.37560099849182,250,238.46893,180.50120844040862,250,242.85072,182.1477609201569,250,238.76093,181.51150650773633,250,192.26292,205.23392892716862,250
17,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,217.69653,221.27496516867217,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_8,218.32803344726562,,222.15053988963606,,250,,False,False,935.0702,928.751853183712,1000,209.79572,225.22965137263327,250,218.1347,216.94427272784964,250,217.57722,221.69377195708554,250,213.9083,221.6535644337337,250,221.05515,222.82784524925475,250,223.88663,233.6882407446449,250,214.50404,219.0578568058994,250,236.14326,233.1419673516986,250,232.75731,232.43715154296643,250,228.84317,204.56115627160938,250
18,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,236.64006,186.23878876142558,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_9,198.09568786621094,,211.04891146303788,,250,,False,False,976.0239,747.4766870003837,1000,233.30731,190.04493613338335,250,237.7487,181.29257679191386,250,236.66441,186.2997295016116,250,237.1328,186.3706985441674,250,239.86586,186.7417159977773,250,238.75256,192.19258508589442,250,234.80292,185.80446334909635,250,242.16112,189.8823013992496,250,1.4071429,3.18178308722015,4,201.54752,205.24618968600015,250
19,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,235.11444,191.3218342365163,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_10,171.12136840820312,,194.88121705122984,,250,,False,False,978.8461,782.776948709714,1000,228.5247,197.4530141579323,250,238.21884,185.99917334476686,250,234.93153,191.44569777955724,250,235.94319,192.40577143947436,250,237.1231,192.7225509438797,250,238.463,193.38217552833584,250,230.89586,190.74170645315735,250,234.13158,194.1680605008169,250,234.75255,197.6476936865249,250,182.65433,204.6533418735256,250
